slug,org,title,female,male,unknown,total
policy,Mozilla Jordan community,Dont Hack Me,0,3,0,3
teach,,Be Smarter Get MEAN,0,1,0,1
teach,,Working with young children,0,2,1,3
policy,Mozilla Botswana Community,DNSSEC for Everybody A Beginners Guide on Mozilla Firefox,0,1,3,4
hive,CauseHub,Opening Up Your Theory of Change,0,3,0,3
physical,Mozilla,Attractive Country,1,0,0,1
hive,,Bring out with mozilla,0,0,1,1
teach,Mozilla Reps,Making little apps using Appmaker for beginners,0,1,0,1
badges,UNIQUE Learning Badges,Handson Badges Workshop,1,2,0,3
teach,Mozilla,Explicit Invitations to Contribute,1,1,0,2
journalism,Ushahidi,Taming the Beast Techniques for Crowdsourced Discovery in Open Data Investigations,0,1,0,1
teach,Hire Space,5 Steps To Improving Your Page Load Times,0,1,0,1
teach,,A to Z of Blogging From starting up a blog and making the most out of it,0,2,0,2
journalism,University of Central Lancashire,Data on a deadline,1,1,0,2
art,Open State Foundation,Open Culture Data for the Web,0,1,0,1
journalism,New York Times,Cameras Accelerometers and Swipes “mobile first” means more than just a small screen,0,1,0,1
data,Met Office,Learn how to build cool things with weather data in Python,1,4,0,5
hive,,Hive House,0,1,0,1
physical,Telenor Digital,Abusing phones to make the internet of things,0,0,1,1
art,Hyperaudio Inc,Community Hyperaudio,0,2,1,3
journalism,MinnPost,The threads that tie us together,0,1,0,1
badges,Trade School Norwich,Badges for Informal Learning,0,1,0,1
teach,ThoughtSTEM LLC,CodeSpells A video game about magic and coding,1,0,0,1
teach,ThoughtSTEM LLC,Learn To Mod,1,0,0,1
physical,,The Web of Things with Mozilla Open Badges,0,1,0,1
teach,,Using Webmaker in primary school,0,1,0,1
journalism,OpenNews,The how to run a smart unconference session session,2,2,0,4
teach,,Blogschool  From finding a niche to making your blog a hit and earny money with it Learn everything about Blogging,0,2,0,2
science,BIES Mozilla ClubFSA,Moz Quiz,1,1,1,3
teach,jayamukhi college,need for web literacy in india,0,0,1,1
policy,Mozillla,User Privacy  Security on the web,0,1,0,1
physical,Copenhagen Institute of Interaction Design,Emotional Objects,0,2,1,3
mobile,Mozilla,Beyond Browsing  Pushing the Boundaries of the Mobile Firefox Browser,1,0,0,1
teach,Mozilla Botswana,Programming teed,0,0,1,1
teach,,Lets build a scalable video chat platform with Nodejs webRTC and HTML5 video,0,1,0,1
data,Digital Catapult,Working with open health data,1,0,1,2
physical,,Help me know where my bus is using the web Firefox OS,0,0,1,1
physical,Copenhagen Institute of interaction design,Connected Objects,0,1,0,1
policy,Developer Focused,ProTech Me,0,1,0,1
physical,,Privacy and Security,0,1,0,1
teach,Mace kothamangalam,Shortcut enlarger,0,0,1,1
data,Auroras Teachnological and Research Institute,Question of the Day Exercise,0,0,1,1
policy,,Webs A Currency to Fund the Open Internet,1,0,1,2
science,experimentcom,Indie Science Revolution,1,0,0,1
teach,Makeshift,How can we make hack days better,0,1,0,1
art,na,Symboloskopy Designing Social Attribution Symbols of Values and Ethics,0,1,0,1
teach,SimpleTechLifein,Processing Raw satellite imagery with OpenGL to create  Visualizations,0,1,0,1
physical,Mozilla DevelopersMozilla Reps webmaker,Start data visualizations with d3js,0,1,0,1
teach,Royal Roads University,Webmaking in Higher Education,1,0,0,1
policy,,Saving Net Meutrality,0,1,0,1
physical,MAKE Magazine,Javascript Microcontrollers for Web Developers,0,1,0,1
journalism,LA NACION,Journalist Data Life Cycle Tools and Trics  From raw to story,0,1,0,1
art,BIES Mozilla ClubFSA,MozPuzzle,0,3,0,3
teach,The LAMP,Remixing Media to Create 10000 Jon Stewarts,0,2,0,2
art,dreaminvaderzcom,Dream Invaderz,0,1,0,1
music,,Improving Your Drumming Skills with Web Audio API,0,0,1,1
teach,AppShed,Appmaker meets AppShed,1,2,0,3
teach,TechGirls,Girls in Tech Teaching Kit Next Steps,1,0,0,1
badges,Makewaves,The Health of the Nation and badges,3,1,1,5
